track_a_file_path,track_b_file_path,label,label_created_at,label_updated_at,a_title,a_artist,a_duration_sec,a_bpm,a_estimated_key,a_energy_score,a_loudness_db_mean,a_spectral_centroid_mean_hz,a_zero_crossing_rate_mean,b_title,b_artist,b_duration_sec,b_bpm,b_estimated_key,b_energy_score,b_loudness_db_mean,b_spectral_centroid_mean_hz,b_zero_crossing_rate_mean,bpm_diff,energy_diff,loudness_diff,spectral_centroid_diff,zero_crossing_rate_diff,duration_diff,same_artist,key_match,harmonic_compatibility
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500003x3ir60MibJ7.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500001xDjQ02pHpaZ.mp3,1,2026-03-30 21:38:01,2026-03-30 21:38:01,M500003x3ir60MibJ7,,197.04,117.45383522727273,E minor,1.0,-9.76529312133789,3134.8092182889745,0.13530701532303205,M500001xDjQ02pHpaZ,,181.26367346938775,129.19921875,D# minor,0.26450765129463105,-15.658333778381348,2539.3746437092773,0.10732824658559625,11.745383522727266,0.735492348705369,5.893040657043457,595.4345745796973,0.027978768737435794,15.776326530612238,1,0,1
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500002jHxsR0ur9V5.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M5000035mCUp15lLwc.mp3,0,2026-03-30 21:38:02,2026-03-30 21:38:02,M500002jHxsR0ur9V5,,194.09333333333333,103.359375,C minor,0.5388237963035674,-11.984136581420898,2987.800466552199,0.1319096557602584,M5000035mCUp15lLwc,,200.26666666666668,103.359375,F# minor,0.37321155651142207,-14.59343147277832,2844.672541614706,0.1293329936594203,0.0,0.1656122397921453,2.609294891357422,143.12792493749293,0.002576662100838095,6.173333333333346,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500002w7LQr0G7omK.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500003Yqypq3u8QJI.mp3,1,2026-03-30 21:42:43,2026-03-30 21:42:43,M500002w7LQr0G7omK,,191.14204081632653,123.046875,E minor,0.41577503803077254,-13.1145601272583,2956.384890818473,0.1278212003272291,M500003Yqypq3u8QJI,,170.35659863945577,135.99917763157896,D minor,0.2648275496109492,-15.813268661499023,3042.3400077437877,0.13548450384182908,12.95230263157896,0.15094748841982336,2.6987085342407227,85.95511692531454,0.007663303514599984,20.78544217687076,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500000XNcaR17vzPm.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500001QbBsx3RtvmK.mp3,1,2026-03-30 21:43:46,2026-03-30 21:43:46,M500000XNcaR17vzPm,,209.35532879818595,135.99917763157896,E minor,0.1482654352940883,-15.134209632873535,3396.0563232015174,0.17072515370272817,M500001QbBsx3RtvmK,,186.96444444444444,89.10290948275862,E minor,0.0,-17.850963592529297,2870.1484192761154,0.13090406740949453,46.89626814882034,0.1482654352940883,2.7167539596557617,525.907903925402,0.03982108629323364,22.390884353741512,1,1,1
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M50000497PYk3zTDKS.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500003x3ir60MibJ7.mp3,1,2026-03-30 21:44:30,2026-03-30 21:44:30,M50000497PYk3zTDKS,,232.26666666666668,129.19921875,F# minor,0.558559376706666,-14.571459770202637,2725.0874984758425,0.11278203453026592,M500003x3ir60MibJ7,,197.04,117.45383522727273,E minor,1.0,-9.76529312133789,3134.8092182889745,0.13530701532303205,11.745383522727266,0.441440623293334,4.806166648864746,409.72171981313204,0.02252498079276613,35.22666666666669,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500002LJt0G0h10Ur.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M5000029p51A2JzkdP.mp3,1,2026-03-30 21:45:20,2026-03-30 21:45:20,M500002LJt0G0h10Ur,,177.72829931972788,135.99917763157896,D minor,0.31483051443531135,-13.327862739562988,3088.176490421088,0.14731084922028087,M5000029p51A2JzkdP,,123.51750566893423,129.19921875,D# minor,0.49757641189298785,-14.189303398132324,2473.839750137953,0.09442992246240602,6.799958881578959,0.1827458974576765,0.8614406585693359,614.336740283135,0.052880926757874855,54.21079365079365,1,0,1
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500000tTMdz3waUlb.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500001MSb8t2GRVJ6.mp3,0,2026-03-30 21:46:11,2026-03-30 21:46:11,M500000tTMdz3waUlb,,220.177641723356,135.99917763157896,C minor,0.4139058631761157,-12.907140731811523,2655.6144510741983,0.11067723780383318,M500001MSb8t2GRVJ6,,151.37333333333333,135.99917763157896,A# major,0.2751456725940005,-14.30576229095459,3274.767769827592,0.12385141571606595,0.0,0.1387601905821152,1.3986215591430664,619.1533187533937,0.01317417791223277,68.80430839002267,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M5000029p51A2JzkdP.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500004RIgfg3Ub3Iv.mp3,1,2026-03-30 21:48:20,2026-03-30 21:48:20,M5000029p51A2JzkdP,,123.51750566893423,129.19921875,D# minor,0.49757641189298785,-14.189303398132324,2473.839750137953,0.09442992246240602,M500004RIgfg3Ub3Iv,,214.97333333333333,129.19921875,C# minor,0.7174983577722114,-11.529911994934082,2701.377701557096,0.1283521016713468,0.0,0.21992194587922353,2.659391403198242,227.5379514191427,0.03392217920894079,91.4558276643991,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M50000062Vmi0UehYH.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500001xvAl81nGjSR.mp3,0,2026-03-30 21:48:58,2026-03-30 21:48:58,M50000062Vmi0UehYH,,219.02666666666667,123.046875,A# minor,0.42153391999461526,-13.723164558410645,3383.8088320399784,0.1576702757274992,M500001xvAl81nGjSR,,180.1802267573696,117.45383522727273,F# minor,0.04579603041179719,-15.458704948425293,2875.754547892565,0.11812404357280928,5.593039772727266,0.37573788958281806,1.7355403900146484,508.05428414741345,0.039546232154689914,38.84643990929706,1,0,0
/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500002sxSDM0XXw72.mp3,/Users/wangchongjia/Desktop/AI-DJ-Autopilot/Songs/kpop/M500001BtLdo1QpGus.mp3,1,2026-03-30 21:52:01,2026-03-30 21:52:01,M500002sxSDM0XXw72,,138.21333333333334,112.34714673913044,C minor,0.3697748531966772,-14.307360649108887,3036.2243182908787,0.13238434140349403,M500001BtLdo1QpGus,,168.3585941043084,103.359375,B minor,0.03131860608025824,-17.786645889282227,2341.7981319387745,0.09922668263429182,8.987771739130437,0.338456247116419,3.47928524017334,694.4261863521042,0.03315765876920221,30.145260770975057,1,0,1
